raw_name,canonical_name,entity_type,matching_method,confidence,resolution_status
Lamb Labs,,STARTUP,,,UNRESOLVED
Mireye,,STARTUP,,,UNRESOLVED
Derya,,STARTUP,,,UNRESOLVED
Decawork,,STARTUP,,,UNRESOLVED
CarSignal,,STARTUP,,,UNRESOLVED
Axelrod,,STARTUP,,,UNRESOLVED
Levocred AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Praxis AI,,STARTUP,,,UNRESOLVED
Care GP,,STARTUP,,,UNRESOLVED
Radley,,STARTUP,,,UNRESOLVED
Agnost AI,,STARTUP,,,UNRESOLVED
Agentcard,,STARTUP,,,UNRESOLVED
ProvenMetal,,STARTUP,,,UNRESOLVED
Gamgee,,STARTUP,,,UNRESOLVED
Inkbox,,STARTUP,,,UNRESOLVED
Operon,,STARTUP,,,UNRESOLVED
Cosmic Robotics,,STARTUP,,,UNRESOLVED
Markov,,STARTUP,,,UNRESOLVED
Lumeria,,STARTUP,,,UNRESOLVED
Marengo,,STARTUP,,,UNRESOLVED
RonanRx Inc.,,STARTUP,,,UNRESOLVED
Executor,,STARTUP,,,UNRESOLVED
Last Accounting Company,,STARTUP,,,UNRESOLVED
Pacific,,STARTUP,,,UNRESOLVED
Luca IQ,,STARTUP,,,UNRESOLVED
Computable,,STARTUP,,,UNRESOLVED
Denta,,STARTUP,,,UNRESOLVED
Isengard Industries Inc,,STARTUP,,,UNRESOLVED
Ekho Labs,,STARTUP,,,UNRESOLVED
Vestris,,STARTUP,,,UNRESOLVED
Ultrasonium,,STARTUP,,,UNRESOLVED
Arbital,,STARTUP,,,UNRESOLVED
PokerClubHub,,STARTUP,,,UNRESOLVED
Neuron Industries,,STARTUP,,,UNRESOLVED
Neuromorphic,,STARTUP,,,UNRESOLVED
LATO,,STARTUP,,,UNRESOLVED
Risklytics,,STARTUP,,,UNRESOLVED
Daqstra,,STARTUP,,,UNRESOLVED
Qlo,,STARTUP,,,UNRESOLVED
Fabraix,,STARTUP,,,UNRESOLVED
Omanta,,STARTUP,,,UNRESOLVED
Rational,,STARTUP,,,UNRESOLVED
Aktoria Robotics,,STARTUP,,,UNRESOLVED
Vendo,,STARTUP,,,UNRESOLVED
Click,,STARTUP,,,UNRESOLVED
Whitespace,,STARTUP,,,UNRESOLVED
Orvixo,,STARTUP,,,UNRESOLVED
Almanac,,STARTUP,,,UNRESOLVED
TareBio,,STARTUP,,,UNRESOLVED
Greypoint Industries,,STARTUP,,,UNRESOLVED
Graphify Labs,,STARTUP,,,UNRESOLVED
Ooak Data,,STARTUP,,,UNRESOLVED
Nori,,STARTUP,,,UNRESOLVED
6thSense,,STARTUP,,,UNRESOLVED
Bloomy,,STARTUP,,,UNRESOLVED
machine0,,STARTUP,,,UNRESOLVED
Pluto,,STARTUP,,,UNRESOLVED
FlowManual,,STARTUP,,,UNRESOLVED
Stratum Industries,,STARTUP,,,UNRESOLVED
Peer,,STARTUP,,,UNRESOLVED
Molagri,,STARTUP,,,UNRESOLVED
Cerenovus,,STARTUP,,,UNRESOLVED
Agency Tool Company,,STARTUP,,,UNRESOLVED
Standard Machines,,STARTUP,,,UNRESOLVED
Traceforce,,STARTUP,,,UNRESOLVED
Definite,,STARTUP,,,UNRESOLVED
Alkera AI,,STARTUP,,,UNRESOLVED
Rasyn,,STARTUP,,,UNRESOLVED
Manifold,,STARTUP,,,UNRESOLVED
screenpipe,,STARTUP,,,UNRESOLVED
Zaplar,,STARTUP,,,UNRESOLVED
Prodigy Research,,STARTUP,,,UNRESOLVED
Touchmark,,STARTUP,,,UNRESOLVED
Exosat,,STARTUP,,,UNRESOLVED
Codag,,STARTUP,,,UNRESOLVED
Context.dev,,STARTUP,,,UNRESOLVED
Glen,Glean,STARTUP,fuzzy,88.88888888888889,RESOLVED
Stoa,,STARTUP,,,UNRESOLVED
Marble,,STARTUP,,,UNRESOLVED
Audun,,STARTUP,,,UNRESOLVED
COACH,,STARTUP,,,UNRESOLVED
Alloovium,,STARTUP,,,UNRESOLVED
Dialogus,,STARTUP,,,UNRESOLVED
Mosaic,,STARTUP,,,UNRESOLVED
Bizmark,,STARTUP,,,UNRESOLVED
Riften,,STARTUP,,,UNRESOLVED
Buildbox,,STARTUP,,,UNRESOLVED
RealPact,,STARTUP,,,UNRESOLVED
GUILD,,STARTUP,,,UNRESOLVED
Floracene,,STARTUP,,,UNRESOLVED
Rise Reforming,,STARTUP,,,UNRESOLVED
Instaplay,,STARTUP,,,UNRESOLVED
Verdant,,STARTUP,,,UNRESOLVED
IMPACT Drones,,STARTUP,,,UNRESOLVED
Insurf,,STARTUP,,,UNRESOLVED
Jcode,,STARTUP,,,UNRESOLVED
LemonLime,,STARTUP,,,UNRESOLVED
Gutgutgoose,,STARTUP,,,UNRESOLVED
Speko,,STARTUP,,,UNRESOLVED
Synapse Semiconductor,,STARTUP,,,UNRESOLVED
Understudy Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Rote,,STARTUP,,,UNRESOLVED
Prized,,STARTUP,,,UNRESOLVED
Maingen,,STARTUP,,,UNRESOLVED
Enact,,STARTUP,,,UNRESOLVED
Rex,,STARTUP,,,UNRESOLVED
Zomma,,STARTUP,,,UNRESOLVED
Nebula Security,,STARTUP,,,UNRESOLVED
Kara,,STARTUP,,,UNRESOLVED
Trope,,STARTUP,,,UNRESOLVED
Parasma,,STARTUP,,,UNRESOLVED
Belvedir,,STARTUP,,,UNRESOLVED
Shielded,,STARTUP,,,UNRESOLVED
Olam Labs,,STARTUP,,,UNRESOLVED
Egoist Machines,,STARTUP,,,UNRESOLVED
Perceptron ML,,STARTUP,,,UNRESOLVED
Erinys,,STARTUP,,,UNRESOLVED
HERA,,STARTUP,,,UNRESOLVED
Donkey,,STARTUP,,,UNRESOLVED
OpenTrade,,STARTUP,,,UNRESOLVED
Hoplite,,STARTUP,,,UNRESOLVED
Pango,,STARTUP,,,UNRESOLVED
tash,,STARTUP,,,UNRESOLVED
Torus,,STARTUP,,,UNRESOLVED
Kebra,,STARTUP,,,UNRESOLVED
GitCafe,,STARTUP,,,UNRESOLVED
RightNow,,STARTUP,,,UNRESOLVED
Akkari,,STARTUP,,,UNRESOLVED
HeyClicky,,STARTUP,,,UNRESOLVED
Rindler,,STARTUP,,,UNRESOLVED
Proprio Robotics,,STARTUP,,,UNRESOLVED
Huscarl,,STARTUP,,,UNRESOLVED
Thomas,,STARTUP,,,UNRESOLVED
Cohesion,,STARTUP,,,UNRESOLVED
Maquoketa Research,,STARTUP,,,UNRESOLVED
Intelligence Factory,,STARTUP,,,UNRESOLVED
Amorphic Labs,,STARTUP,,,UNRESOLVED
rekursiv.ai,,STARTUP,,,UNRESOLVED
Clawvisor,,STARTUP,,,UNRESOLVED
Framewise Health,,STARTUP,,,UNRESOLVED
Arctic Health,,STARTUP,,,UNRESOLVED
Playabl.ai,,STARTUP,,,UNRESOLVED
Enjamb Labs,,STARTUP,,,UNRESOLVED
Hyper,,STARTUP,,,UNRESOLVED
InsForge,,STARTUP,,,UNRESOLVED
ReasonBlocks,,STARTUP,,,UNRESOLVED
Modern,,STARTUP,,,UNRESOLVED
Panacea,,STARTUP,,,UNRESOLVED
CentralComs,,STARTUP,,,UNRESOLVED
KugelAudio,Udio,STARTUP,fuzzy,90.0,RESOLVED
Klaimee,,STARTUP,,,UNRESOLVED
flowscope,,STARTUP,,,UNRESOLVED
Trident,,STARTUP,,,UNRESOLVED
Gigacatalyst,,STARTUP,,,UNRESOLVED
Arlo Industries,,STARTUP,,,UNRESOLVED
Astraea,,STARTUP,,,UNRESOLVED
Lattice Health,,STARTUP,,,UNRESOLVED
Atlas Discovery,,STARTUP,,,UNRESOLVED
Manicule,,STARTUP,,,UNRESOLVED
Avea Robotics,,STARTUP,,,UNRESOLVED
Mochatrade,,STARTUP,,,UNRESOLVED
Asendia AI,,STARTUP,,,UNRESOLVED
Revnu,,STARTUP,,,UNRESOLVED
Uno Wallet,,STARTUP,,,UNRESOLVED
Arden,,STARTUP,,,UNRESOLVED
AgentPhone,,STARTUP,,,UNRESOLVED
Gravy,,STARTUP,,,UNRESOLVED
Kinect,,STARTUP,,,UNRESOLVED
Runtime,,STARTUP,,,UNRESOLVED
YouArt,,STARTUP,,,UNRESOLVED
Expanse,,STARTUP,,,UNRESOLVED
CharacterQuilt,,STARTUP,,,UNRESOLVED
Pentagon,,STARTUP,,,UNRESOLVED
Arzana,,STARTUP,,,UNRESOLVED
Auxos,,STARTUP,,,UNRESOLVED
ProjectX,,STARTUP,,,UNRESOLVED
Tolmo,,STARTUP,,,UNRESOLVED
OpenWork,,STARTUP,,,UNRESOLVED
"Apollo Atomics, Inc.",,STARTUP,,,UNRESOLVED
General Aviation,,STARTUP,,,UNRESOLVED
OpenProse,,STARTUP,,,UNRESOLVED
Aster,,STARTUP,,,UNRESOLVED
Amboras,,STARTUP,,,UNRESOLVED
Hessian,,STARTUP,,,UNRESOLVED
RASPIRE,,STARTUP,,,UNRESOLVED
Plena Health,,STARTUP,,,UNRESOLVED
TesterArmy,,STARTUP,,,UNRESOLVED
Eden Robotics,,STARTUP,,,UNRESOLVED
Foaster,,STARTUP,,,UNRESOLVED
AquaShield,,STARTUP,,,UNRESOLVED
Ornadyne,,STARTUP,,,UNRESOLVED
ANORIA,,STARTUP,,,UNRESOLVED
AbInitio Bio,,STARTUP,,,UNRESOLVED
Memory Store,,STARTUP,,,UNRESOLVED
Saudara AI,,STARTUP,,,UNRESOLVED
Pops,,STARTUP,,,UNRESOLVED
Silmaril,,STARTUP,,,UNRESOLVED
BioStack Platforms,,STARTUP,,,UNRESOLVED
Ardent,,STARTUP,,,UNRESOLVED
Kuli,,STARTUP,,,UNRESOLVED
Wato,,STARTUP,,,UNRESOLVED
Tasklet,,STARTUP,,,UNRESOLVED
Chronicle Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Walter,,STARTUP,,,UNRESOLVED
Aseon Labs,,STARTUP,,,UNRESOLVED
Soria,,STARTUP,,,UNRESOLVED
Armature,,STARTUP,,,UNRESOLVED
Collar,,STARTUP,,,UNRESOLVED
PLAN0 AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Zibra Labs,,STARTUP,,,UNRESOLVED
Ara,Character.ai,STARTUP,fuzzy,90.0,RESOLVED
ValCtrl,,STARTUP,,,UNRESOLVED
General Instinct,,STARTUP,,,UNRESOLVED
tday.com,,STARTUP,,,UNRESOLVED
ED1TH,,STARTUP,,,UNRESOLVED
Minicor,,STARTUP,,,UNRESOLVED
Degla Inc,,STARTUP,,,UNRESOLVED
Archer,,STARTUP,,,UNRESOLVED
River Markets,,STARTUP,,,UNRESOLVED
smol machines,,STARTUP,,,UNRESOLVED
Allowance,,STARTUP,,,UNRESOLVED
Harbor,,STARTUP,,,UNRESOLVED
Complir,,STARTUP,,,UNRESOLVED
AICE,,STARTUP,,,UNRESOLVED
Infera,,STARTUP,,,UNRESOLVED
Mount,,STARTUP,,,UNRESOLVED
Parrot,,STARTUP,,,UNRESOLVED
Result,,STARTUP,,,UNRESOLVED
Sidekick,,STARTUP,,,UNRESOLVED
Prototyping.io,,STARTUP,,,UNRESOLVED
Lumius,,STARTUP,,,UNRESOLVED
Adialante,,STARTUP,,,UNRESOLVED
Savant,,STARTUP,,,UNRESOLVED
Keyframe Labs,,STARTUP,,,UNRESOLVED
Voquill,,STARTUP,,,UNRESOLVED
Oddpool,,STARTUP,,,UNRESOLVED
Ontora,,STARTUP,,,UNRESOLVED
Napkin Math,,STARTUP,,,UNRESOLVED
Gojiberry AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Lab0,,STARTUP,,,UNRESOLVED
BentoLabs AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Lamina Labs,,STARTUP,,,UNRESOLVED
Kimpton AI,,STARTUP,,,UNRESOLVED
StableBrowse,,STARTUP,,,UNRESOLVED
Taiga,,STARTUP,,,UNRESOLVED
Pairio,,STARTUP,,,UNRESOLVED
Callab AI,,STARTUP,,,UNRESOLVED
Synphony,,STARTUP,,,UNRESOLVED
Dreach,,STARTUP,,,UNRESOLVED
Arga Labs,,STARTUP,,,UNRESOLVED
Andco,,STARTUP,,,UNRESOLVED
RentAHuman,,STARTUP,,,UNRESOLVED
InstaAgent,,STARTUP,,,UNRESOLVED
Salesgraph,,STARTUP,,,UNRESOLVED
Sherpa,,STARTUP,,,UNRESOLVED
Userlens,,STARTUP,,,UNRESOLVED
transload,,STARTUP,,,UNRESOLVED
Standout,,STARTUP,,,UNRESOLVED
shotwell.ai,,STARTUP,,,UNRESOLVED
Madrone,,STARTUP,,,UNRESOLVED
Pavoot,,STARTUP,,,UNRESOLVED
qomplement,,STARTUP,,,UNRESOLVED
Deep Interactions,,STARTUP,,,UNRESOLVED
KelAI,,STARTUP,,,UNRESOLVED
"HEVN, inc",,STARTUP,,,UNRESOLVED
Wealor,,STARTUP,,,UNRESOLVED
Elyra,,STARTUP,,,UNRESOLVED
Interfaze,,STARTUP,,,UNRESOLVED
Zolvo,,STARTUP,,,UNRESOLVED
Juno,,STARTUP,,,UNRESOLVED
Kinro,,STARTUP,,,UNRESOLVED
GovGuard,,STARTUP,,,UNRESOLVED
Superlog,,STARTUP,,,UNRESOLVED
GodHands,,STARTUP,,,UNRESOLVED
Limrun,,STARTUP,,,UNRESOLVED
Light Anchor,,STARTUP,,,UNRESOLVED
Hub,,STARTUP,,,UNRESOLVED
Tenet Industries,,STARTUP,,,UNRESOLVED
Atrisa,,STARTUP,,,UNRESOLVED
Trellis,,STARTUP,,,UNRESOLVED
The Company Company,Together AI,STARTUP,fuzzy,90.0,RESOLVED
Dayjob,,STARTUP,,,UNRESOLVED
InLoop Robotics,,STARTUP,,,UNRESOLVED
Zenbu,,STARTUP,,,UNRESOLVED
Andustry,,STARTUP,,,UNRESOLVED
Nine Fives,,STARTUP,,,UNRESOLVED
Incandor,,STARTUP,,,UNRESOLVED
Chert,,STARTUP,,,UNRESOLVED
Saffron,,STARTUP,,,UNRESOLVED
Discovered Materials,,STARTUP,,,UNRESOLVED
Lightsprint,,STARTUP,,,UNRESOLVED
Twolabs,,STARTUP,,,UNRESOLVED
Scope,,STARTUP,,,UNRESOLVED
Hexa,,STARTUP,,,UNRESOLVED
Palette,,STARTUP,,,UNRESOLVED
Rudus,,STARTUP,,,UNRESOLVED
Replicas,,STARTUP,,,UNRESOLVED
Totalis,,STARTUP,,,UNRESOLVED
WithAI,,STARTUP,,,UNRESOLVED
Osmaura,,STARTUP,,,UNRESOLVED
Instance,,STARTUP,,,UNRESOLVED
Illume Labs,,STARTUP,,,UNRESOLVED
Memoir,,STARTUP,,,UNRESOLVED
"PerfectBit, Inc.",,STARTUP,,,UNRESOLVED
Stage,,STARTUP,,,UNRESOLVED
Standard Signal,,STARTUP,,,UNRESOLVED
primitive,,STARTUP,,,UNRESOLVED
afterfive,,STARTUP,,,UNRESOLVED
Klarify,,STARTUP,,,UNRESOLVED
Surtr Defense Systems,,STARTUP,,,UNRESOLVED
Hedge,,STARTUP,,,UNRESOLVED
Cardinal,,STARTUP,,,UNRESOLVED
Wideframe,,STARTUP,,,UNRESOLVED
Martini,,STARTUP,,,UNRESOLVED
Litmus,,STARTUP,,,UNRESOLVED
Condor Energy,,STARTUP,,,UNRESOLVED
Remix,,STARTUP,,,UNRESOLVED
OpenVector,,STARTUP,,,UNRESOLVED
Shofo,,STARTUP,,,UNRESOLVED
Wayco,,STARTUP,,,UNRESOLVED
"Applied Electrodynamics, Inc.",,STARTUP,,,UNRESOLVED
Unifold,,STARTUP,,,UNRESOLVED
Carrot Labs,,STARTUP,,,UNRESOLVED
Dispatch,,STARTUP,,,UNRESOLVED
Bloom,,STARTUP,,,UNRESOLVED
Aurorin CAD,,STARTUP,,,UNRESOLVED
Fixture,,STARTUP,,,UNRESOLVED
DAIVIN!,,STARTUP,,,UNRESOLVED
Brumby (Formerly GrazeMate),,STARTUP,,,UNRESOLVED
Origami Robotics,,STARTUP,,,UNRESOLVED
Ossus,,STARTUP,,,UNRESOLVED
Rubric AI,,STARTUP,,,UNRESOLVED
Regbase,,STARTUP,,,UNRESOLVED
Zymbly,,STARTUP,,,UNRESOLVED
Ritivel,,STARTUP,,,UNRESOLVED
Polymorph,,STARTUP,,,UNRESOLVED
Khotan (formerly Pollinate),,STARTUP,,,UNRESOLVED
SpotPay,,STARTUP,,,UNRESOLVED
Poth Labs,,STARTUP,,,UNRESOLVED
VOYGR,,STARTUP,,,UNRESOLVED
MochaCare,,STARTUP,,,UNRESOLVED
Cova,,STARTUP,,,UNRESOLVED
Vela,,STARTUP,,,UNRESOLVED
Supafax,,STARTUP,,,UNRESOLVED
Talking Computers,,STARTUP,,,UNRESOLVED
Control Seat,,STARTUP,,,UNRESOLVED
Copperlane,,STARTUP,,,UNRESOLVED
Tsenta,,STARTUP,,,UNRESOLVED
Atlia,,STARTUP,,,UNRESOLVED
Canary,,STARTUP,,,UNRESOLVED
Grade,,STARTUP,,,UNRESOLVED
Sila,,STARTUP,,,UNRESOLVED
Maven,,STARTUP,,,UNRESOLVED
Moda,,STARTUP,,,UNRESOLVED
The Token Company,,STARTUP,,,UNRESOLVED
BeeSafe AI,,STARTUP,,,UNRESOLVED
Fed10,,STARTUP,,,UNRESOLVED
Inth,,STARTUP,,,UNRESOLVED
Squid,,STARTUP,,,UNRESOLVED
Crow,,STARTUP,,,UNRESOLVED
Foreman,,STARTUP,,,UNRESOLVED
Booko,,STARTUP,,,UNRESOLVED
Corelayer,,STARTUP,,,UNRESOLVED
General Legal,,STARTUP,,,UNRESOLVED
Fort,,STARTUP,,,UNRESOLVED
Balance,,STARTUP,,,UNRESOLVED
Ekpa,,STARTUP,,,UNRESOLVED
Chasi,,STARTUP,,,UNRESOLVED
Anchorhead,,STARTUP,,,UNRESOLVED
o11,,STARTUP,,,UNRESOLVED
Doomersion,,STARTUP,,,UNRESOLVED
Sequence Markets,,STARTUP,,,UNRESOLVED
Libra Robotics,,STARTUP,,,UNRESOLVED
Ditto Biosciences,,STARTUP,,,UNRESOLVED
Servo7,,STARTUP,,,UNRESOLVED
Datoric,,STARTUP,,,UNRESOLVED
Superset,,STARTUP,,,UNRESOLVED
Netter,,STARTUP,,,UNRESOLVED
Voxel Energy,,STARTUP,,,UNRESOLVED
Polymath,,STARTUP,,,UNRESOLVED
Archal,,STARTUP,,,UNRESOLVED
Bubble Lab,,STARTUP,,,UNRESOLVED
Pocket,,STARTUP,,,UNRESOLVED
Byteport,,STARTUP,,,UNRESOLVED
Constellation Space,,STARTUP,,,UNRESOLVED
Sazabi,,STARTUP,,,UNRESOLVED
Mendral,,STARTUP,,,UNRESOLVED
AxionOrbital Space,,STARTUP,,,UNRESOLVED
Oximy,,STARTUP,,,UNRESOLVED
Caretta,,STARTUP,,,UNRESOLVED
Samora AI,,STARTUP,,,UNRESOLVED
Human Archive,,STARTUP,,,UNRESOLVED
Forum,,STARTUP,,,UNRESOLVED
Sitefire,,STARTUP,,,UNRESOLVED
Robby,,STARTUP,,,UNRESOLVED
Ressl AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Emdash,,STARTUP,,,UNRESOLVED
InventoryQuant,,STARTUP,,,UNRESOLVED
Congruent,,STARTUP,,,UNRESOLVED
Reframe,,STARTUP,,,UNRESOLVED
Valence,,STARTUP,,,UNRESOLVED
9 Mothers,,STARTUP,,,UNRESOLVED
Approxima,,STARTUP,,,UNRESOLVED
Traverse,,STARTUP,,,UNRESOLVED
Revion,,STARTUP,,,UNRESOLVED
Maywood,,STARTUP,,,UNRESOLVED
Fenrock AI,,STARTUP,,,UNRESOLVED
End Close,,STARTUP,,,UNRESOLVED
Chamber,,STARTUP,,,UNRESOLVED
Assemble,,STARTUP,,,UNRESOLVED
Patientdesk.ai,,STARTUP,,,UNRESOLVED
Visibl Semiconductors,,STARTUP,,,UNRESOLVED
Synthetic Sciences,,STARTUP,,,UNRESOLVED
Seeing Systems,,STARTUP,,,UNRESOLVED
Jinba,,STARTUP,,,UNRESOLVED
Cardboard,,STARTUP,,,UNRESOLVED
Prana,,STARTUP,,,UNRESOLVED
Rhizome AI,,STARTUP,,,UNRESOLVED
Pax Historia,,STARTUP,,,UNRESOLVED
Parameter (fka Hex Security),,STARTUP,,,UNRESOLVED
Laurence,,STARTUP,,,UNRESOLVED
Terminal Use,,STARTUP,,,UNRESOLVED
Overshoot,,STARTUP,,,UNRESOLVED
Cajal,,STARTUP,,,UNRESOLVED
Proximitty,,STARTUP,,,UNRESOLVED
Instinct,,STARTUP,,,UNRESOLVED
Stilta,,STARTUP,,,UNRESOLVED
Unisson,,STARTUP,,,UNRESOLVED
IncidentFox,,STARTUP,,,UNRESOLVED
Compresr,,STARTUP,,,UNRESOLVED
Opalite Health,,STARTUP,,,UNRESOLVED
Confluence Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
Rapidfolio,,STARTUP,,,UNRESOLVED
Mango Medical,,STARTUP,,,UNRESOLVED
Sponge,,STARTUP,,,UNRESOLVED
Terranox AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Drafted,,STARTUP,,,UNRESOLVED
Ventura,,STARTUP,,,UNRESOLVED
Q2Q,,STARTUP,,,UNRESOLVED
Orthogonal,,STARTUP,,,UNRESOLVED
Perfectly,,STARTUP,,,UNRESOLVED
Fern,,STARTUP,,,UNRESOLVED
Sparkles,,STARTUP,,,UNRESOLVED
EigenPal,,STARTUP,,,UNRESOLVED
Salus,,STARTUP,,,UNRESOLVED
Moritz,,STARTUP,,,UNRESOLVED
RamAIn,,STARTUP,,,UNRESOLVED
Milliray,,STARTUP,,,UNRESOLVED
Beyond Reach Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED
OctaPulse,,STARTUP,,,UNRESOLVED
CodeWisp,,STARTUP,,,UNRESOLVED
Ashr,,STARTUP,,,UNRESOLVED
Aemon,,STARTUP,,,UNRESOLVED
Luel,,STARTUP,,,UNRESOLVED
Scheduling Wizard,,STARTUP,,,UNRESOLVED
RoboDock,,STARTUP,,,UNRESOLVED
Skillsync,,STARTUP,,,UNRESOLVED
MouseCat,,STARTUP,,,UNRESOLVED
Zatanna,,STARTUP,,,UNRESOLVED
AutoSitu,,STARTUP,,,UNRESOLVED
Verdex,,STARTUP,,,UNRESOLVED
Cumulus Labs,,STARTUP,,,UNRESOLVED
Tepali,,STARTUP,,,UNRESOLVED
Palus Finance,,STARTUP,,,UNRESOLVED
21st,,STARTUP,,,UNRESOLVED
Avoice,,STARTUP,,,UNRESOLVED
Kyten Technologies,,STARTUP,,,UNRESOLVED
ZeroSettle,,STARTUP,,,UNRESOLVED
/dev/fast,,STARTUP,,,UNRESOLVED
Cignara,,STARTUP,,,UNRESOLVED
OpenSpec,,STARTUP,,,UNRESOLVED
Piris Labs,,STARTUP,,,UNRESOLVED
CellType,,STARTUP,,,UNRESOLVED
Burt,,STARTUP,,,UNRESOLVED
Envariant,,STARTUP,,,UNRESOLVED
Cascade,,STARTUP,,,UNRESOLVED
Beacon Health,,STARTUP,,,UNRESOLVED
Strand AI,,STARTUP,,,UNRESOLVED
BaseFrame,,STARTUP,,,UNRESOLVED
Protent,,STARTUP,,,UNRESOLVED
Cofia,,STARTUP,,,UNRESOLVED
Fuchsia,,STARTUP,,,UNRESOLVED
LegalOS,,STARTUP,,,UNRESOLVED
Sentrial,,STARTUP,,,UNRESOLVED
10x Science,,STARTUP,,,UNRESOLVED
REV1,,STARTUP,,,UNRESOLVED
shortkit,,STARTUP,,,UNRESOLVED
Asimov,,STARTUP,,,UNRESOLVED
Lexius,,STARTUP,,,UNRESOLVED
Axis,,STARTUP,,,UNRESOLVED
Mirabelle,,STARTUP,,,UNRESOLVED
Docura Health,,STARTUP,,,UNRESOLVED
Lance,,STARTUP,,,UNRESOLVED
RunAnywhere,,STARTUP,,,UNRESOLVED
Lucent,,STARTUP,,,UNRESOLVED
"Prescience, Inc.",,STARTUP,,,UNRESOLVED
Ruma Care,,STARTUP,,,UNRESOLVED
Klaus AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED
Kita,,STARTUP,,,UNRESOLVED
Syntropy,,STARTUP,,,UNRESOLVED
One Robot,,STARTUP,,,UNRESOLVED
Didit,,STARTUP,,,UNRESOLVED
Panta,,STARTUP,,,UNRESOLVED
Imperfect,,STARTUP,,,UNRESOLVED
TrustAI,,STARTUP,,,UNRESOLVED
Payna,,STARTUP,,,UNRESOLVED
Origin,,STARTUP,,,UNRESOLVED
Clara,,STARTUP,,,UNRESOLVED
Hlabs,,STARTUP,,,UNRESOLVED
Eos AI,Mistral AI,STARTUP,fuzzy,85.5,RESOLVED
Valgo,,STARTUP,,,UNRESOLVED
ARC Prize Foundation,,STARTUP,,,UNRESOLVED
Corvera,,STARTUP,,,UNRESOLVED
FullSeam,,STARTUP,,,UNRESOLVED
Waddle Labs,,STARTUP,,,UNRESOLVED
Linzumi,,STARTUP,,,UNRESOLVED
Advanced Metal Research,,STARTUP,,,UNRESOLVED
Ploy,,STARTUP,,,UNRESOLVED
CatchBack Cards,,STARTUP,,,UNRESOLVED
Mantis,,STARTUP,,,UNRESOLVED
Haladir,,STARTUP,,,UNRESOLVED
ClaimGlide,,STARTUP,,,UNRESOLVED
Inviscid AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED
Coasts,,STARTUP,,,UNRESOLVED
Zephyr Fusion,,STARTUP,,,UNRESOLVED
Mayflower,,STARTUP,,,UNRESOLVED
Ndea,,STARTUP,,,UNRESOLVED
item,,STARTUP,,,UNRESOLVED
