raw_name,canonical_name,entity_type,matching_method,confidence,resolution_status,source_url
Orvixo,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/orvixo
Almanac,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/almanac
TareBio,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/tarebio
Greypoint Industries,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/greypoint-industries
Graphify Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/graphify-labs
Ooak Data,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ooak-data
Nori,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/noril1
6thSense,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/6thsense
Bloomy,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/bloomy
machine0,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/machine0
Pluto,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/talentpluto
FlowManual,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/flowmanual
Stratum Industries,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/stratum-industries
Peer,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/peer
Molagri,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/molagri
Cerenovus,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/cerenovus
Agency Tool Company,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/agency-tool-company
Standard Machines,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/standard-machines
Traceforce,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/traceforce
Definite,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/definite
Alkera AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/alkera-ai
Rasyn,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rasyn
Manifold,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/manifold-2
screenpipe,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/screenpipe
Zaplar,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/zaplar
Prodigy Research,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/prodigy-research
Touchmark,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/touchmark
Exosat,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/exosat
Codag,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/codag
Context.dev,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/contextdev
Glen,Glean,STARTUP,fuzzy,88.88888888888889,RESOLVED,https://www.ycombinator.com/companies/glen
Stoa,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/stoa
Marble,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/joinmarble
Audun,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/audun
COACH,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ai-coach
Alloovium,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/alloovium
Dialogus,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/dialogus
Mosaic,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/mosaic-inc
Bizmark,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/bizmark
Riften,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/riften
Buildbox,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/buildbox
RealPact,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/realpact
GUILD,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/guild
Floracene,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/floracene
Rise Reforming,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rise-reforming
Instaplay,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/instaplay
Verdant,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/verdant
IMPACT Drones,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/impact-drones
Insurf,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/insurf
Jcode,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/jcode
LemonLime,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lemonlime
Gutgutgoose,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/gutgutgoose
Speko,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/speko
Synapse Semiconductor,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/synapse-semiconductor
Understudy Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/understudy-labs
Rote,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rote
Prized,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/prized
Maingen,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/maingen
Enact,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/enact
Rex,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rex-inc
Zomma,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/zomma
Nebula Security,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/nebula-security
Kara,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/kara
Trope,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/trope
Parasma,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/parasma
Belvedir,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/belvedir
Shielded,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/shielded
Olam Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/olam-labs
Egoist Machines,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/egoist-machines
Perceptron ML,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/perceptron-ml
Erinys,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/erinys
HERA,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/manufacturingintelligence
Donkey,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/donkey
OpenTrade,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/opentrade
Hoplite,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hoplite
Pango,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pango
tash,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/tash
Torus,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/torus
Kebra,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/kebra
GitCafe,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/gitcafe
RightNow,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rightnow
Akkari,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/akkari
HeyClicky,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/heyclicky
Rindler,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rindler
Proprio Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/proprio-robotics
Huscarl,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/huscarl
Thomas,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/thomas
Cohesion,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/cohesion
Maquoketa Research,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/maquoketa-research
Intelligence Factory,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/intelligence-factory
Amorphic Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/amorphic-labs
rekursiv.ai,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rekursivai
Clawvisor,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/clawvisor
Framewise Health,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/framewise-health
Arctic Health,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/arctic-health
Playabl.ai,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/playablai
Enjamb Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/enjamb-labs
Hyper,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hyper-4
InsForge,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/insforge
ReasonBlocks,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/reasonblocks
Modern,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/modern
Panacea,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/panacea
CentralComs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/centralcoms
KugelAudio,Udio,STARTUP,fuzzy,90.0,RESOLVED,https://www.ycombinator.com/companies/kugelaudio
Klaimee,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/klaimee
flowscope,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/flowscope
Trident,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/trident
Gigacatalyst,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/gigacatalyst
Arlo Industries,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/arlo-industries
Astraea,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/astraea
Lattice Health,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lattice-health
Atlas Discovery,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/atlas-discovery
Manicule,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/manicule
Avea Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/avea-robotics
Mochatrade,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/mochatrade
Asendia AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/asendia-ai
Revnu,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/revnu
Uno Wallet,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/uno-wallet
Arden,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/arden
AgentPhone,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/agentphone
Gravy,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/gravy
Kinect,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/kinect
Runtime,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/runtime
YouArt,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/youart
Expanse,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/expanse
CharacterQuilt,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/characterquilt
Pentagon,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pentagon
Arzana,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/arzana
Auxos,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/auxos
ProjectX,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/projectx
Tolmo,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/tolmo
OpenWork,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/openwork
"Apollo Atomics, Inc.",,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/apollo-atomics-inc
General Aviation,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/general-aviation
OpenProse,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/openprose
Aster,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/asterlab
Amboras,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/amboras
Hessian,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hessian
RASPIRE,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/raspire
Plena Health,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/plena-health
TesterArmy,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/testerarmy
Eden Robotics,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/eden-robotics
Foaster,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/foaster
AquaShield,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/aquashield
Ornadyne,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ornadyne
ANORIA,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/anoria
AbInitio Bio,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/abinitio-bio
Memory Store,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/memory-store
Saudara AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/saudara-ai
Pops,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pops
Silmaril,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/silmaril
BioStack Platforms,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/biostack-platforms
Ardent,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ardent
Kuli,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/kuli
Wato,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/wato
Tasklet,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/tasklet-2
Chronicle Labs,AI21 Labs,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/chronicle-labs
Walter,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/walter
Aseon Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/aseon-labs
Soria,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/soria
Armature,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/armature
Collar,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/collar
PLAN0 AI,Stability AI,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/plan0-ai
Zibra Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/zibra-labs
Ara,Character.ai,STARTUP,fuzzy,90.0,RESOLVED,https://www.ycombinator.com/companies/ara
ValCtrl,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/valctrl
General Instinct,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/general-instinct
tday.com,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/tdaycom
ED1TH,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ed1th
Minicor,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/minicor
Degla Inc,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/degla-inc
Archer,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/archer
River Markets,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/river-markets
smol machines,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/smol-machines
Allowance,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/allowance
Harbor,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/runharbor
Complir,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/complir
AICE,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/aice
Infera,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/infera
Mount,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/mount
Parrot,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/useparrot
Result,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/result
Sidekick,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/textsidekick
Prototyping.io,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/prototypingio
Lumius,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lumius
Adialante,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/adialante
Savant,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/savant
Keyframe Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/keyframe-labs
Voquill,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/voquill
Oddpool,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/oddpool
Ontora,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/ontora
Napkin Math,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/napkin-math
Gojiberry AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/gojiberry-ai
Lab0,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lab0
BentoLabs AI,Meta AI,STARTUP,fuzzy,85.5,RESOLVED,https://www.ycombinator.com/companies/bentolabs-ai
Lamina Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/lamina-labs
Kimpton AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/kimpton-ai
StableBrowse,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/stablebrowse
Taiga,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/taiga
Pairio,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pairio
Callab AI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/callab-ai
Synphony,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/synphony
Dreach,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/dreach
Arga Labs,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/arga-labs
Andco,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/andco
RentAHuman,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/rentahuman
InstaAgent,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/instaagent
Salesgraph,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/salesgraph
Sherpa,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/sherpa
Userlens,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/userlens
transload,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/transload
Standout,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/standout
shotwell.ai,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/shotwellai
Madrone,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/madrone
Pavoot,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/pavoot
qomplement,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/qomplement
Deep Interactions,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/deep-interactions
KelAI,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/kelai
"HEVN, inc",,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/hevn-inc
Wealor,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/wealor
Elyra,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/elyra
Interfaze,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/interfaze
Zolvo,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/zolvo
Juno,,STARTUP,,,UNRESOLVED,https://www.ycombinator.com/companies/juno-chat
